node,closeness,dist_to_best,dist_to_worst,rank
Medici,1.0,0.0,0.15173073806684434,1
Guadagni,0.5822870942767882,0.06783080185570621,0.09455537517242896,2
Albizzi,0.467869703108554,0.08423983176107093,0.07406694432962733,3
Strozzi,0.4307724225099211,0.10239644817631112,0.07749021266997543,4
Ridolfi,0.42713585051393,0.10199191518383728,0.07604665691975243,5
Bischeri,0.4085933520031534,0.10510216188370779,0.07261339515255365,6
Tornabuoni,0.4080929601028162,0.10698740804482054,0.07376294772625562,7
Peruzzi,0.3542466205073013,0.12399076255698627,0.06801870498059429,8
Barbadori,0.32338451799492723,0.11372794206888258,0.05435562251622386,9
Castellani,0.3134965313771497,0.11901625773843423,0.05434959280444061,10
Salviati,0.24031150352345304,0.11863597145506165,0.03752799838954975,11
Acciaiuoli,0.05964062077493792,0.14962753083807218,0.009489859963493791,12
Lamberteschi,0.030305969592668583,0.15059520889614333,0.004706571019820509,13
Ginori,0.027305234884587855,0.15067144990146356,0.004229609819553954,14
Pazzi,0.010942330909705422,0.1513452172032082,0.001674391190719899,15
