node,degree,betweenness,closeness,eigenvector,pagerank,kshell,hindex
Napoleon,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177,0.00302445011662527,1,1
Myriel,0.13157894736842105,0.17684210526315788,0.4293785310734463,0.028134336026755368,0.039250993615993414,3,3
MlleBaptistine,0.039473684210526314,0.0,0.41304347826086957,0.02687299983699642,0.0174136025196972,3,3
MmeMagloire,0.039473684210526314,0.0,0.41304347826086957,0.02687299983699642,0.019544335740158427,3,3
CountessDeLo,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177,0.00302445011662527,1,1
Geborand,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177,0.00302445011662527,1,1
Champtercier,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177,0.00302445011662527,1,1
Cravatte,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177,0.00302445011662527,1,1
Count,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177,0.004100848285198591,1,1
OldMan,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177,0.00302445011662527,1,1
Valjean,0.47368421052631576,0.5699890527836184,0.6440677966101694,0.2676181759885394,0.09957628217876387,8,10
Labarre,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868,0.0024837793209218223,1,1
Marguerite,0.02631578947368421,0.0,0.41304347826086957,0.02976771474076885,0.0034663800480973523,2,2
MmeDeR,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868,0.0024837793209218223,1,1
Isabeau,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868,0.0024837793209218223,1,1
Gervais,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868,0.0024837793209218223,1,1
Listolier,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793,0.013160045637317567,7,7
Tholomyes,0.11842105263157894,0.04062934817733579,0.3917525773195876,0.0481461558640121,0.014068374678514475,7,7
Fameuil,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793,0.013160045637317567,7,7
Blacheville,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793,0.013632414514777655,7,7
