node,closeness,dist_to_best,dist_to_worst,rank
Valjean,0.9300532236956248,0.01006400607468521,0.13381690747723368,1
Gavroche,0.5057473809580121,0.08164217193315929,0.08354091215733411,2
Marius,0.4859611406843462,0.0836987682626071,0.07912699236964606,3
Enjolras,0.42106859345753406,0.10140907600379101,0.07375688469167942,4
Thenardier,0.3939873725114908,0.097908208306586,0.06365312534473708,5
Bossuet,0.3921429809381188,0.10575379296152672,0.06822428024512774,6
Courfeyrac,0.3827529667335048,0.10918295461177532,0.06770401078030586,7
Javert,0.37593401642793395,0.10272016246074903,0.06187807741253046,8
Combeferre,0.36877048579421623,0.11156450880977511,0.06517708247995753,9
Joly,0.36756752429589906,0.11257628261647445,0.0654289384012173,10
Bahorel,0.36687392540911906,0.11279675836220854,0.0653616888871747,11
Mabeuf,0.36342337114928536,0.11074566025960275,0.06322500602066061,12
Feuilly,0.36198421719053675,0.11348484837611049,0.06438668934100827,13
Fantine,0.34438208683394417,0.09688161990037751,0.050889845696901255,14
Grantaire,0.3413054930934896,0.11611302402507043,0.06016448065670241,15
Prouvaire,0.337674802988034,0.11640803918960664,0.05934858265533206,16
Babet,0.32092247416025166,0.11500860583710536,0.05435144726564684,17
Gueulemer,0.32033932304850415,0.11519220303886173,0.05429266925879283,18
Eponine,0.3191617712354282,0.11486615747964708,0.0538466918092063,19
Claquesous,0.31742633900946293,0.11586231967211026,0.053881000783550466,20
MmeThenardier,0.31009661162341867,0.11156741714856946,0.050147134523802935,21
Montparnasse,0.3036525632425496,0.11742156930594619,0.051203405968926696,22
Myriel,0.2839204566382482,0.10119134059550085,0.040121648350450116,23
Cosette,0.2831051758568281,0.11160016219385568,0.04407143485978392,24
MmeHucheloup,0.2733507223176405,0.11983433057530413,0.045079245004808616,25
Tholomyes,0.26583760463250844,0.11557676826281266,0.04184993867844885,26
Brujon,0.26213053884098386,0.12043677267434198,0.04278555730956149,27
Favourite,0.24622243932985582,0.1235372207819213,0.04035359691778685,28
Dahlia,0.2459468251647784,0.12361865734625495,0.040320255016614605,29
Blacheville,0.24593212249362892,0.12362306165384511,0.040318494990438054,30
Zephine,0.2456785017094452,0.12370003668257508,0.04028844430716789,31
Fameuil,0.24566418275872554,0.12370444030929413,0.04028676557259129,32
Listolier,0.24566418275872554,0.12370444030929413,0.04028676557259129,32
Bamatabois,0.22402413766701615,0.12185243709816794,0.03517878386251586,34
Champmathieu,0.2165369440905487,0.12399180888607673,0.034269398136819666,35
Judge,0.2165369440905487,0.12399180888607673,0.034269398136819666,35
Chenildieu,0.2154967204183949,0.12434394355102499,0.03415627791056109,38
Cochepaille,0.2154967204183949,0.12434394355102499,0.03415627791056109,38
Brevet,0.2154967204183949,0.12434394355102499,0.03415627791056109,38
MlleGillenormand,0.17806831414440527,0.11817629685247119,0.025602436692099325,40
Gillenormand,0.16915650614296443,0.12172866229863083,0.02478348252605604,41
LtGillenormand,0.14061141262158008,0.12877784159615027,0.021070368500506188,42
MmeMagloire,0.1159711042389573,0.12914849747221113,0.01694231255841551,43
MlleBaptistine,0.11264268574960962,0.12947883355705175,0.016436269048972423,44
Simplice,0.11080757880305041,0.12882876783835168,0.016054122262009456,45
Woman2,0.1068310101482207,0.1306797971047066,0.015630474064014573,46
Toussaint,0.10664758227056628,0.1307898159401614,0.015613566806123637,47
Anzelma,0.10046003322369322,0.13123690270114088,0.014656451177793812,48
Fauchelevent,0.08785758323986395,0.12816363031073846,0.012344724476627326,49
Pontmercy,0.06729188655770775,0.1325759258106206,0.009564926080685723,50
Woman1,0.06720974492170936,0.13382203687381597,0.009642194388531497,51
Marguerite,0.06492615691127833,0.13418078315541634,0.009316742892571938,52
MotherInnocent,0.06191439623875506,0.13417866293807754,0.008855898513552802,53
Child1,0.05896106838706744,0.13397358362546236,0.008394153908874078,54
Child2,0.05896106838706744,0.13397358362546236,0.008394153908874078,54
BaronessT,0.05752545349687631,0.13453857081054973,0.008211778585866381,56
Magnon,0.05176004997142275,0.13511072924592465,0.0073750722032262725,57
Perpetue,0.04981143717154943,0.13522868818810518,0.007089051130463851,58
MmeBurgon,0.0491361431699893,0.1331806385133788,0.006882144982647987,59
MmePontmercy,0.04907784080411183,0.13536494377979577,0.006986291251115784,60
Labarre,0.037451133856717965,0.1375235311085618,0.00535080592077555,63
MmeDeR,0.037451133856717965,0.1375235311085618,0.00535080592077555,63
Isabeau,0.037451133856717965,0.1375235311085618,0.00535080592077555,63
Gervais,0.037451133856717965,0.1375235311085618,0.00535080592077555,63
Scaufflaire,0.037451133856717965,0.1375235311085618,0.00535080592077555,63
Boulatruelle,0.02419119818283627,0.13796826325225792,0.0034203602109980392,66
MotherPlutarch,0.016868024299156115,0.1378987913316571,0.002365989735354159,67
MlleVaubois,0.01212487909783857,0.13856085133177812,0.0017006537917030747,68
Count,0.011836514091438072,0.13846454539266875,0.0016585692206568202,69
OldMan,0.01047986566178432,0.13864893782311416,0.0014684109924727247,72
Napoleon,0.01047986566178432,0.13864893782311416,0.0014684109924727247,72
Geborand,0.01047986566178432,0.13864893782311416,0.0014684109924727247,72
Champtercier,0.01047986566178432,0.13864893782311416,0.0014684109924727247,72
Cravatte,0.01047986566178432,0.13864893782311416,0.0014684109924727247,72
CountessDeLo,0.01047986566178432,0.13864893782311416,0.0014684109924727247,72
Gribier,0.008165595925113886,0.13855150338291256,0.0011406698404429348,76
Jondrette,0.004170834426146805,0.1386759678819014,0.0005808169924283743,77
